A  AX
VISIBLY  V IH Z IX B L IY
VISION  V IH ZH IX N
VISIT  V IH Z IX T
VISITING  V IH Z IX T IX NG
VISITOR  V IH Z IX T AXR
VISITORS  V IH Z IX T AXR Z
VISUAL  V IH ZH UW EL
VISUALLY  V IH ZH UW AX L IY
VITAL  V AY T EL
VITALITY  V AY T AE L IX T IY
VITAMIN  V AY T AX M AX N
VITAMIN-AND-IRON  V AY T AX M AX N AE N D AY AXR N
VIVID  V IH V IX D
VIVIDLY  V IH V IX D L IY
VOCABULARY  V OW K AE B Y UH L EH R IY
VOCATIONAL  V OW K EY SH IX N EL
VODKA  V AA D K AX
VOICE  V OY S
VOLTAGES  V OW L T IX JH IX Z
VOLUME  V AA L Y UW M
VOLUMES  V AA L Y UW M Z
VOLUNTEERED  V AA L IX N T IH R D
VOLUNTEERS  V AA L IX N T IH R Z
VOTES  V OW T S
VOYAGE  V OY IH JH
WADDED  W AA D IX D
WAGE  W EY JH
WAGON  W AE G IX N
WAGONS  W AE G IX N Z
WAIT  W EY T
WAITED  W EY T IX D
WAITING  W EY T IX NG
WAKE  W EY K
WAKING  W EY K IX NG
WALK  W AO K
WALKED  W AO K T
WALKING  W AO K IX NG
WALL  W AO L
WALLS  W AO L Z
WANDERED  W AA N D AXR D
WANNA  W AH N AX
WANT  W AO N T
WANTED  W AO N T IX D
WANTS  W AO N T S
WAR  W AO R
WARD  W AO R D
WARDROBE  W AO R D R OW B
WARFARE  W AO R F AE R
WARLIKE  W AO R L AY K
WARM  W AO R M
WARMISH  W AO R M IH SH
WARMONGERING  W AO R M AA NG G AXR IX NG
WARMTH  W AO R M TH
WARN  W AO R N
WARNINGLY  W AO R N IX NG L IY
WARPING  W AO R P IX NG
WARRIOR  W AO R IY AXR
WAS  W AX Z
WASH  W AO SH
WASHER  W AO SH AXR
WASHING  W AO SH IX NG
WASHINGTON  W AO SH IX NG T AH N
WASN'T  W AX Z EN T
WASP  W AA S P
WASTE  W EY S T
WATCH  W AA CH
WATCHED  W AA CH T
WATCHES  W AA CH IX Z
WATER  W AO T AXR
WATERS  W AO T AXR Z
WAVE  W EY V
WAVE-SETTING  W EY V S EH T IX NG
WAVES  W EY V Z
WAX  W AE K S
WAXING  W AE K S IX NG
WAXY  W AE K S IY
WAY  W EY
WAYS  W EY Z
WE  W IY
WE'D  W IY D
WE'LL  W IH L
WE'RE  W IH R
WE'VE  W IY V
WEAKENS  W IY K IX N Z
WEAKNESS  W IY K N IX S
WEALTH  W EH L TH
WEALTHY  W EH L TH IY
WEAPON  W EH P AX N
WEAR  W AE R
WEARY  W IH R IY
WEATHER  W EH DH AXR
WEATHERPROOF  W EH DH AXR P R UW F
WEATHERSTRIP  W EH DH AXR S T R IH P
WEAVE  W IY V
WEB  W EH B
WEBBED  W EH B D
WEDDED  W EH D IX D
WEDDING  W EH D IX NG
WEEK  W IY K
WEEKDAY  W IY K D EY
WEEKEND  W IY K EH N D
WEEKS  W IY K S
WEEPING  W IY P IX NG
WELCOME  W EH L K AX M
WELCOMED  W EH L K AX M D
WELFARE  W EH L F AE R
WELL  W EH L
WELL-KEPT  W EH L K EH P T
WELL-MADE  W EH L M EY D
WENT  W EH N T
WERE  W ER
WEREN'T  W ER EN T
WESTCHESTER  W EH S CH EH S T AXR
WET  W EH T
WHAT  HH W AA T
WHAT'RE  HH W AA T AXR
WHAT'S  HH W AA T S
WHAT'S-HIS-NAME  HH W AA T S HH IH Z N EY M
WHATEVER  HH W AX T EH V AXR
WHATSOEVER  HH W AA T S OW EH V AXR
WHEAT  HH W IY T
WHEEL  HH W IY L
WHEELS  HH W IY L Z
WHEN  HH W EH N
WHENEVER  HH W EH N EH V AXR
WHERE  HH W AE R
WHERE'RE  HH W AE R AXR
WHEREVER  HH W AE R EH V AXR
WHETHER  W EH DH AXR
WHICH  HH W IH CH
WHILE  HH W AY L
WHIMSICAL  HH W IH M Z IH K EL
WHINING  HH W AY N IX NG
WHIP  HH W IH P
WHIPLASHES  HH W IH P L AE SH IX Z
WHIPPED  HH W IH P T
WHIPSAWED  HH W IH P S AO D
WHIRLING  HH W ER L IX NG
WHISKEY  HH W IH S K IY
WHISPER  HH W IH S P AXR
WHISPERED  HH W IH S P AXR D
WHISTLING  HH W IH S EL IX NG
WHITE  HH W AY T
WHIZZING  HH W IH Z IX NG
WHO  HH UW
WHOEVER  HH UW EH V AXR
WHOLE  HH OW L
WHOLESOME  HH OW L S AH M
WHOPPERS  HH W AA P AXR Z
WHORLS  HH W ER L Z
WHOSOEVER  HH UW S OW EH V AXR
WHY  HH W AY
WICK  W IH K
WIDE  W AY D
WIDELY  W AY D L IY
WIDER  W AY D AXR
WIDOW  W IH D OW
WIDTH  W IH D TH
WIDTHS  W IH D TH S
WIENERS  W IY N AXR Z
WIFE  W AY F
WILD  W AY L D
WILDLY  W AY L D L IY
WILL  W IH L
WILLOW  W IH L OW
WILLOWY  W IH L OW IY
WIN  W IH N
WINDOW  W IH N D OW
WINDOWPANES  W IH N D OW P EY N Z
WINDOWS  W IH N D OW Z
WINDS  W IH N D Z
WINDSHIELD  W IH N D SH IY L D
WINE  W AY N
WINGMAN  W IH NG M AX N
WINKING  W IH NG K IX NG
WINTER  W IH N T AXR
WIPE  W AY P
WIRE  W AY AXR
WIRE-HAIRED  W AY AXR HH AE R D
WIRED  W AY AXR D
WISDOM  W IH Z D AX M
WISE  W AY Z
WISED  W AY Z D
WISH  W IH SH
WISHFUL  W IH SH F UH L
WITCHES  W IH CH IX Z
WITH  W IH DH
WITHDRAW  W IH DH D R AO
WITHIN  W IH DH IH N
WITHOUT  W IH DH AW T
WITNESSES  W IH T N IX S IX Z
WITNESSING  W IH T N IX S IX NG
WOBBLE  W AA B EL
WOBBLED  W AA B EL D
WOE  W OW
WOMAN  W UH M AX N
WOMEN  W IH M AX N
WON'T  W OW N T
WONDERED  W AH N D AXR D
WONDERFUL  W AH N D AXR F UH L
WONDERFULLY  W AH N D AXR F UH L IY
WONDERS  W AH N D AXR Z
WOOD  W UH D
WOODED  W UH D IX D
WOODEN  W UH D EN
WOODLAND  W UH D L AE N D
WOODS  W UH D Z
WOOL  W UH L
WOOLEN  W UH L AX N
WOOLLY  W UH L L IY
WOPS  W AA P S
WORD  W ER D
WORDS  W ER D Z
WORE  W AO R
WORK  W ER K
WORKABLE  W ER K AX B EL
WORKED  W ER K T
WORKER  W ER K AXR
WORKERS  W ER K AXR Z
WORKING  W ER K IX NG
WORKS  W ER K S
WORLD  W ER L D
WORLD'S  W ER L D Z
WORM  W ER M
WORN  W AO R N
WORRIED  W ER IY D
WORRIES  W ER IY Z
WORRY  W ER IY
WORSE  W ER S
WORSHIP  W ER SH IX P
WORTH  W ER TH
WOULD  W UH D
WOULD'VE  W UH D AX V
WOUNDS  W UW N D Z
WOUND~N  W UW N D
WOUND~V  W AW N D
WRAP  R AE P
WRAPS  R AE P S
WRINKLED  R IH NG K EL D
WRIST  R IH S T
WRITERS  R AY T AXR Z
WRITES  R AY T S
WRITTEN  R IH T EN
WRONG  R AO NG
WROTE  R OW T
X  EH K S
X-RAY  EH K S R EY
Y'ALL  Y AO L
YA  Y AX
YACHT  Y AA T
YARD  Y AA R D
YARDS  Y AA R D Z
YARN  Y AA R N
YEAH  Y EH AX
YEAR  Y IH R
YEAR'S  Y IH R Z
YEARLY  Y IH R L IY
YEARS  Y IH R Z
YELL  Y EH L
YELLED  Y EH L D
YELLOW  Y EH L OW
YES  Y EH S
YESTERDAY  Y EH S T AXR D EY
YET  Y EH T
YIELD  Y IY L D
YIELDED  Y IY L D IX D
YOGURT  Y OW G ER T
YORK  Y AO R K
YOU  Y UW
YOU'D  Y UW D
YOU'LL  Y UW L
YOU'RE  Y UH R
YOU'VE  Y UW V
YOUNG  Y AH NG
YOUNGSTERS  Y AH NG S T AXR Z
YOUR  Y UH R
YOURS  Y UH R Z
YOURSELF  Y UH R S EH L F
YOUTH  Y UW TH
ZEAL  Z IY L
ZEALOUS  Z EH L AX S
ZEBRAS  Z IY B R AX Z
ZIG-  Z IH G
ZIG-ZAGGED  Z IH G Z AE G D
ZINNIAS  Z IH N IY AX Z
ZIP  Z IH P
ZIPPERS  Z IH P AXR Z
ZIRCONS  Z ER K AA N Z
ZOMBIE  Z AA M B IY
ZONES  Z OW N Z
ZONING  Z OW N IX NG
ZOO  Z UW
ZOOLOGIST  Z OW AA L AX JH IX S T
ZOOS  Z UW Z
1 She had your dark suit in greasy wash water all year
2 Dont ask me to carry an oily rag like that
3 A sailboat may have a bone in her teeth one minute and lie becalmed the next.
4 Even then if she took one step forward he could catch her
